GEO_ID,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_STATE,Geo_COUNTY,Geo_TRACT,Geo_BLKGRP,Geo_NAME,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,SE_C01001_001,SE_C01001_002,SE_C01001_003,SE_C01001_004,SE_C01001_005,SE_C01001_006,SE_C01001_007,SE_C01001_008,SE_C01001_009,SE_C01001_010,SE_C01001_011,SE_C01001_012,SE_C01001_013,SE_C01001_014,SE_C01001_015,SE_C01001_016,SE_C01001_017,SE_C01001_018,SE_C01001_019,SE_C01001_020,SE_C01001_021,SE_C01001_022,SE_C01001_023,SE_C01001_024
130019501001,"Block Group 1, Census Tract 9501, Appling County, Georgia",ga,150,0,13,1,950100,1,Block Group 1,1177,1042,32,0,0,0,101,2,1177,60,77,29,73,90,0,0,130,119,10,61,48,68,149,37,3,58,72,29,39,10,0,15
130019501002,"Block Group 2, Census Tract 9501, Appling County, Georgia",ga,150,0,13,1,950100,2,Block Group 2,576,456,0,0,0,0,120,0,576,17,40,64,17,0,0,0,34,9,74,68,25,51,21,14,16,26,0,17,38,16,29,0
130019501003,"Block Group 3, Census Tract 9501, Appling County, Georgia",ga,150,0,13,1,950100,3,Block Group 3,1875,1558,317,0,0,0,0,0,1875,147,247,160,71,121,16,0,148,34,114,187,121,30,99,86,0,36,38,70,105,36,0,9
130019502011,"Block Group 1, Census Tract 9502.01, Appling County, Georgia",ga,150,0,13,1,950201,1,Block Group 1,1242,752,358,0,74,0,22,36,1242,54,32,48,6,0,0,26,125,82,38,28,87,178,113,101,20,50,29,53,25,36,110,1
130019502012,"Block Group 2, Census Tract 9502.01, Appling County, Georgia",ga,150,0,13,1,950201,2,Block Group 2,1150,936,199,0,0,0,15,0,1150,66,24,94,41,0,0,64,98,100,73,49,63,14,46,44,215,45,0,25,36,5,29,19
130019502021,"Block Group 1, Census Tract 9502.02, Appling County, Georgia",ga,150,0,13,1,950202,1,Block Group 1,1176,416,679,0,0,0,0,81,1176,85,100,46,0,0,26,5,56,141,171,74,97,72,37,83,35,21,21,9,40,38,0,19
130019502022,"Block Group 2, Census Tract 9502.02, Appling County, Georgia",ga,150,0,13,1,950202,2,Block Group 2,1185,568,553,0,0,0,22,42,1185,40,85,107,12,79,0,39,51,51,28,195,79,113,69,44,0,55,47,2,0,41,48,0
130019503011,"Block Group 1, Census Tract 9503.01, Appling County, Georgia",ga,150,0,13,1,950301,1,Block Group 1,1323,1003,111,28,0,0,0,181,1323,93,139,49,160,0,0,0,0,42,22,47,170,40,37,36,37,17,65,24,33,39,86,187
130019503012,"Block Group 2, Census Tract 9503.01, Appling County, Georgia",ga,150,0,13,1,950301,2,Block Group 2,1393,1168,0,0,17,0,150,58,1393,77,18,168,70,0,0,0,30,29,108,130,98,0,41,162,30,62,39,77,113,64,62,15
130019503021,"Block Group 1, Census Tract 9503.02, Appling County, Georgia",ga,150,0,13,1,950302,1,Block Group 1,726,486,240,0,0,0,0,0,726,30,163,0,31,0,0,0,14,74,0,19,17,129,28,48,30,43,14,11,57,13,5,0
