Geo_FIPS,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,ACS22_5yr_B28008001,ACS22_5yr_B28008002,ACS22_5yr_B28008003,ACS22_5yr_B28008004,ACS22_5yr_B28008005,ACS22_5yr_B28008006,ACS22_5yr_B28008007,ACS22_5yr_B28008008,ACS22_5yr_B28008009,ACS22_5yr_B28008010,ACS22_5yr_B28008001s,ACS22_5yr_B28008002s,ACS22_5yr_B28008003s,ACS22_5yr_B28008004s,ACS22_5yr_B28008005s,ACS22_5yr_B28008006s,ACS22_5yr_B28008007s,ACS22_5yr_B28008008s,ACS22_5yr_B28008009s,ACS22_5yr_B28008010s,ACS22_5yr_B28010001,ACS22_5yr_B28010002,ACS22_5yr_B28010003,ACS22_5yr_B28010004,ACS22_5yr_B28010005,ACS22_5yr_B28010006,ACS22_5yr_B28010007,ACS22_5yr_B28010001s,ACS22_5yr_B28010002s,ACS22_5yr_B28010003s,ACS22_5yr_B28010004s,ACS22_5yr_B28010005s,ACS22_5yr_B28010006s,ACS22_5yr_B28010007s,ACS22_5yr_B28011001,ACS22_5yr_B28011002,ACS22_5yr_B28011003,ACS22_5yr_B28011004,ACS22_5yr_B28011005,ACS22_5yr_B28011006,ACS22_5yr_B28011007,ACS22_5yr_B28011008,ACS22_5yr_B28011001s,ACS22_5yr_B28011002s,ACS22_5yr_B28011003s,ACS22_5yr_B28011004s,ACS22_5yr_B28011005s,ACS22_5yr_B28011006s,ACS22_5yr_B28011007s,ACS22_5yr_B28011008s
"130019501001","Block Group 1, Census Tract 9501, Appling County, Georgia","ga","150","00",,,,"13","001",,,"950100","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1",,,,1162,1069,0,595,494,345,149,101,474,93,283.6364,289.697,8.484848,158.7879,157.5758,135.7576,113.9394,56.9697,264.8485,45.45454,394,316,217,13,303,99,78,66.66666,65.45454,47.87879,10.30303,64.24242,45.45454,38.78788,394,245,0,159,57,37,13,136,66.66666,54.54546,8.484848,46.06061,33.33333,32.72727,13.93939,48.48485
"130019501002","Block Group 2, Census Tract 9501, Appling County, Georgia","ga","150","00",,,,"13","001",,,"950100","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2",,,,576,529,0,479,393,376,17,86,50,47,172.1212,170.303,8.484848,180,183.0303,182.4242,17.57576,47.27273,47.87879,24.24242,212,183,73,0,183,110,29,55.75758,52.72727,40,8.484848,52.72727,43.0303,15.75758,212,154,0,64,58,0,0,58,55.75758,56.9697,8.484848,40.60606,38.18182,8.484848,8.484848,28.48485
"130019501003","Block Group 3, Census Tract 9501, Appling County, Georgia","ga","150","00",,,,"13","001",,,"950100","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3",,,,1875,1847,0,1360,766,534,232,594,487,28,324.2424,323.0303,8.484848,286.0606,201.8182,138.7879,156.9697,232.7273,253.9394,19.39394,647,619,274,9,610,345,28,120,118.7879,74.54546,9.69697,120,120.6061,19.39394,647,501,0,194,50,25,73,73,120,110.303,8.484848,60,23.63636,22.42424,52.72727,46.66667
"130019502011","Block Group 1, Census Tract 9502.01, Appling County, Georgia","ga","150","00",,,,"13","001",,,"950201","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1",,,,1242,1242,0,806,553,441,112,253,436,0,163.0303,163.0303,8.484848,135.7576,144.8485,141.8182,70.90909,86.66666,130.9091,8.484848,516,516,156,0,516,360,0,78.18182,78.18182,43.0303,8.484848,78.18182,77.57576,8.484848,516,288,0,169,34,0,67,161,78.18182,56.36364,8.484848,58.18182,18.78788,8.484848,55.75758,59.39394
"130019502012","Block Group 2, Census Tract 9502.01, Appling County, Georgia","ga","150","00",,,,"13","001",,,"950201","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2",,,,1150,1101,0,913,699,434,265,214,188,49,211.5152,215.1515,8.484848,189.697,188.4848,132.7273,155.1515,91.51515,121.8182,35.75758,423,393,291,31,362,102,30,90.30303,90.30303,87.87878,23.63636,89.69697,42.42424,20.60606,423,342,0,219,75,0,38,43,90.30303,87.87878,8.484848,83.0303,30.30303,8.484848,24.84848,21.81818
"130019502021","Block Group 1, Census Tract 9502.02, Appling County, Georgia","ga","150","00",,,,"13","001",,,"950202","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1",,,,975,926,6,813,713,498,215,100,107,49,209.0909,210.303,7.878788,216.9697,224.2424,150.303,146.6667,48.48485,62.42424,23.63636,453,420,151,20,400,269,33,86.66666,85.45454,47.87879,15.75758,86.66666,75.75758,14.54545,453,328,6,188,114,0,107,18,86.66666,61.81818,7.878788,57.57576,47.87879,8.484848,62.42424,11.51515
"130019502022","Block Group 2, Census Tract 9502.02, Appling County, Georgia","ga","150","00",,,,"13","001",,,"950202","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2",,,,1185,1085,0,900,606,305,301,294,185,100,240,229.697,8.484848,224.8485,154.5455,109.697,156.9697,179.3939,70.30303,54.54546,450,397,197,0,397,200,53,81.81818,78.78788,65.45454,8.484848,78.78788,64.84849,24.24242,450,267,0,207,7,0,85,98,81.81818,70.90909,8.484848,56.9697,7.272727,8.484848,37.57576,33.33333
"130019503011","Block Group 1, Census Tract 9503.01, Appling County, Georgia","ga","150","00",,,,"13","001",,,"950301","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1",,,,1171,888,0,668,419,419,0,249,220,283,272.1212,269.0909,8.484848,244.8485,141.8182,141.8182,8.484848,191.5152,146.0606,120,464,324,153,0,324,171,140,114.5455,110.303,53.93939,8.484848,110.303,103.6364,54.54546,464,201,0,129,37,0,37,226,114.5455,61.21212,8.484848,43.0303,26.06061,8.484848,35.15152,81.81818
"130019503012","Block Group 2, Census Tract 9503.01, Appling County, Georgia","ga","150","00",,,,"13","001",,,"950301","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2",,,,1393,1305,0,1257,1038,887,151,219,48,88,216.9697,201.8182,8.484848,205.4545,198.1818,178.1818,110.9091,119.3939,32.72727,56.36364,543,504,439,13,491,65,39,77.57576,75.15151,73.93939,13.93939,74.54546,35.75758,24.24242,543,456,0,379,30,0,13,74,77.57576,72.72727,8.484848,71.51515,18.18182,8.484848,12.72727,36.36364
"130019503021","Block Group 1, Census Tract 9503.02, Appling County, Georgia","ga","150","00",,,,"13","001",,,"950302","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1",,,,726,726,0,551,393,282,111,158,175,0,180,180,8.484848,166.0606,113.3333,110.303,69.69697,113.9394,104.8485,8.484848,335,335,139,0,335,196,0,93.33334,93.33334,50.30303,8.484848,93.33334,81.21212,8.484848,335,221,0,166,15,0,99,15,93.33334,64.84849,8.484848,51.51515,13.33333,8.484848,67.87878,14.54545
