Geo_FIPS,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A12001_001,SE_A12001_002,SE_A12001_003,SE_A12001_004,SE_A12001_005,SE_A12001_006,SE_A12001_007,SE_A12001_008,SE_A12002_001,SE_A12002_002,SE_A12002_003,SE_A12002_004,SE_A12002_005,SE_A12002_006,SE_A12002_007,SE_A12002_008
"130019501001","Block Group 1, Census Tract 9501, Appling County, Georgia","ga","150","00",,,,"13","001",,,"950100","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1",,,,718,106,612,211,23,13,13,0,718,106,401,188,10,0,13,0
"130019501002","Block Group 2, Census Tract 9501, Appling County, Georgia","ga","150","00",,,,"13","001",,,"950100","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2",,,,404,109,295,190,130,9,0,0,404,109,105,60,121,9,0,0
"130019501003","Block Group 3, Census Tract 9501, Appling County, Georgia","ga","150","00",,,,"13","001",,,"950100","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3",,,,965,203,762,494,90,49,0,0,965,203,268,404,41,49,0,0
"130019502011","Block Group 1, Census Tract 9502.01, Appling County, Georgia","ga","150","00",,,,"13","001",,,"950201","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1",,,,951,277,674,310,132,68,30,30,951,277,364,178,64,38,0,30
"130019502012","Block Group 2, Census Tract 9502.01, Appling County, Georgia","ga","150","00",,,,"13","001",,,"950201","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2",,,,763,155,608,407,165,113,0,0,763,155,201,242,52,113,0,0
"130019502021","Block Group 1, Census Tract 9502.02, Appling County, Georgia","ga","150","00",,,,"13","001",,,"950202","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1",,,,858,158,700,354,27,10,10,0,858,158,346,327,17,0,10,0
"130019502022","Block Group 2, Census Tract 9502.02, Appling County, Georgia","ga","150","00",,,,"13","001",,,"950202","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2",,,,772,204,568,309,41,13,0,0,772,204,259,268,28,13,0,0
"130019503011","Block Group 1, Census Tract 9503.01, Appling County, Georgia","ga","150","00",,,,"13","001",,,"950301","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1",,,,882,117,765,218,42,23,0,0,882,117,547,176,19,23,0,0
"130019503012","Block Group 2, Census Tract 9503.01, Appling County, Georgia","ga","150","00",,,,"13","001",,,"950301","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2",,,,1030,194,836,609,213,140,63,0,1030,194,227,396,73,77,63,0
"130019503021","Block Group 1, Census Tract 9503.02, Appling County, Georgia","ga","150","00",,,,"13","001",,,"950302","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1",,,,488,127,361,130,0,0,0,0,488,127,231,130,0,0,0,0
"130019503022","Block Group 2, Census Tract 9503.02, Appling County, Georgia","ga","150","00",,,,"13","001",,,"950302","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2",,,,757,232,525,278,80,0,0,0,757,232,247,198,80,0,0,0
"130019504001","Block Group 1, Census Tract 9504, Appling County, Georgia","ga","150","00",,,,"13","001",,,"950400","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1",,,,393,123,270,114,7,2,0,0,393,123,156,107,5,2,0,0
"130019504002","Block Group 2, Census Tract 9504, Appling County, Georgia","ga","150","00",,,,"13","001",,,"950400","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2",,,,766,72,694,340,109,44,9,8,766,72,354,231,65,35,1,8
"130019505001","Block Group 1, Census Tract 9505, Appling County, Georgia","ga","150","00",,,,"13","001",,,"950500","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1",,,,742,55,687,383,74,33,0,0,742,55,304,309,41,33,0,0
"130019505002","Block Group 2, Census Tract 9505, Appling County, Georgia","ga","150","00",,,,"13","001",,,"950500","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2",,,,746,177,569,219,72,31,8,5,746,177,350,147,41,23,3,5
"130019505003","Block Group 3, Census Tract 9505, Appling County, Georgia","ga","150","00",,,,"13","001",,,"950500","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3",,,,1048,340,708,393,26,7,0,0,1048,340,315,367,19,7,0,0
"130039601001","Block Group 1, Census Tract 9601, Atkinson County, Georgia","ga","150","00",,,,"13","003",,,"960100","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1",,,,850,331,519,347,110,91,28,0,850,331,172,237,19,63,28,0
"130039601002","Block Group 2, Census Tract 9601, Atkinson County, Georgia","ga","150","00",,,,"13","003",,,"960100","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2",,,,682,100,582,246,61,36,20,0,682,100,336,185,25,16,20,0
"130039602001","Block Group 1, Census Tract 9602, Atkinson County, Georgia","ga","150","00",,,,"13","003",,,"960200","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1",,,,1184,365,819,612,184,119,27,19,1184,365,207,428,65,92,8,19
