Geo_FIPS,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A14019_001,SE_A14019_002,SE_A14019_003,SE_A14019_004,SE_A14019_005,SE_A14019_006,SE_A14019_007,SE_A14019_008,SE_A14019_009,SE_A14019_010,SE_A14024_001,SE_A14024A_001,SE_A14024B_001,SE_A14024C_001,SE_A14024D_001,SE_A14024E_001,SE_A14024F_001,SE_A14024G_001,SE_A14024H_001,SE_A14024I_001
"130019501001","Block Group 1, Census Tract 9501, Appling County, Georgia","ga","150","00",,,,"13","001",,,"950100","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1",,,,29688800,28784400,,,,,,,,28784400,27641,29875,9109,,,,,,,29875
"130019501002","Block Group 2, Census Tract 9501, Appling County, Georgia","ga","150","00",,,,"13","001",,,"950100","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2",,,,17935100,17071800,,,,,,,,17071800,29452,35309,,,,,,,,35309
"130019501003","Block Group 3, Census Tract 9501, Appling County, Georgia","ga","150","00",,,,"13","001",,,"950100","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3",,,,49139100,45148900,,,,,,,,45148900,27037,29525,14809,,,,,,,29950
"130019502011","Block Group 1, Census Tract 9502.01, Appling County, Georgia","ga","150","00",,,,"13","001",,,"950201","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1",,,,30093800,18177100,7598000,,,,,,,17967500,29358,32422,24763,,,,,,,33572
"130019502012","Block Group 2, Census Tract 9502.01, Appling County, Georgia","ga","150","00",,,,"13","001",,,"950201","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2",,,,19906700,16668300,3180800,,,,,,,15220900,20908,20143,25794,,,,,,11126,21631
"130019502021","Block Group 1, Census Tract 9502.02, Appling County, Georgia","ga","150","00",,,,"13","001",,,"950202","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1",,,,19199400,9194200,9878700,,,,,,,9194200,16650,22968,13635,,,,,9473,,23079
"130019502022","Block Group 2, Census Tract 9502.02, Appling County, Georgia","ga","150","00",,,,"13","001",,,"950202","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2",,,,21951900,11983200,9968700,,,,,,,11983200,19593,22109,18899,,,,,,,21494
"130019503011","Block Group 1, Census Tract 9503.01, Appling County, Georgia","ga","150","00",,,,"13","001",,,"950301","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1",,,,16542400,14059600,,,,,,,,14059600,16398,15866,14369,,,,,20649,12349,18229
"130019503012","Block Group 2, Census Tract 9503.01, Appling County, Georgia","ga","150","00",,,,"13","001",,,"950301","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2",,,,55321000,46521500,,,,,,,,46521500,39566,41915,,,,,11683,,11276,43112
"130019503021","Block Group 1, Census Tract 9503.02, Appling County, Georgia","ga","150","00",,,,"13","001",,,"950302","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1",,,,11742300,7615400,4126900,,,,,,,7615400,14914,15030,14678,,,,,,,15030
